,text,bbox,page,doc_id
0,УДК [37.016:94(477)](075.3)   Г51,"(73.70100402832031, 61.3690185546875, 214.32101440429688, 84.35895538330078)",1,0
1,Рекомендовано Міністерством освіти і науки України   (наказ Міністерства освіти і науки України від 31.05.2018 № 551),"(100.1719970703125, 121.24398803710938, 398.7380065917969, 142.1329803466797)",1,0
2,Видано за рахунок державних коштів. Продаж заборонено,"(136.25099182128906, 150.72097778320312, 362.6510009765625, 159.5129852294922)",1,0
3,"Гісем О. В. Г51    Історія України (рівень стандарту) : підруч. для 10 кл. закл.  загал. серед. освіти / О. В. Гісем, О. О. Мартинюк. — Харків :  Вид-во «Ранок», 2018. — 240 с. : іл. ISBN 978-617-09-4340-8.","(73.69699096679688, 352.01898193359375, 427.5268249511719, 413.9589538574219)",1,0
4,УДК [37.016:94(477)](075.3),"(314.5790100097656, 417.760986328125, 425.20318603515625, 426.99298095703125)",1,0
5,"ISBN 978-617-09-4340-8 © Гісем О. В., Мартинюк О. О., 2018 © ТОВ Видавництво «Ранок», 2018","(74.30999755859375, 538.5908203125, 425.20635986328125, 557.8307495117188)",1,0
6,Інтернет-підтримка,"(145.875, 450.2809753417969, 224.67262268066406, 459.5129699707031)",1,0
7,Електронні матеріали до підручника  розміщено на сайті   interactive.ranok.com.ua,"(145.8669891357422, 465.240966796875, 291.17901611328125, 494.04095458984375)",1,0
8,3,"(424.71600341796875, 558.8359375, 430.87200927734375, 573.2599487304688)",2,0
9,Шановні десятикласники і  десятикласниці!,"(42.519718170166016, 126.84495544433594, 289.010498046875, 141.71295166015625)",2,0
